# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -229.30000000 ps, Average over 300 waveforms. Timestamp: 2023-05-26T11:49:01
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
3.56043959	-60.01461118
3.56776560	-60.98343390
3.57509161	-63.22801241
3.58241762	-61.41601212
3.58974362	-63.22395451
3.59706963	-67.65617430
3.60439564	-80.18160820
3.61172164	-69.12227596
3.61904765	-61.58453112
3.62637366	-59.44823410
3.63369967	-59.77372493
3.64102567	-63.52328425
3.64835168	-73.56151014
3.65567769	-75.62281726
3.66300370	-81.05176579
3.67032970	-69.27494485
3.67765571	-65.53918189
3.68498172	-63.82949237
3.69230773	-64.30056903
3.69963373	-62.55087907
3.70695974	-58.94411116
3.71428575	-60.26393258
3.72161176	-62.53876320
3.72893776	-63.98235617
3.73626377	-63.56724319
3.74358978	-64.61085993
3.75091579	-64.34141681
3.75824179	-63.73149710
3.76556780	-63.19802629
3.77289381	-63.80528313
3.78021981	-61.19315469
3.78754582	-60.78069349
3.79487183	-65.31952745
3.80219784	-82.53597910
3.80952384	-75.92987373
3.81684985	-84.39974354
3.82417586	-81.00803101
3.83150187	-71.65103365
3.83882787	-65.38067076
3.84615388	-63.37356585
3.85347989	-62.70978452
3.86080590	-65.67146579
3.86813190	-62.16049142
3.87545791	-61.30548392
3.88278392	-64.00222769
3.89010993	-63.48997211
3.89743593	-67.03067312
3.90476194	-66.21881159
3.91208795	-67.82453699
3.91941396	-69.54122535
3.92673996	-70.07011142
3.93406597	-73.40743970
3.94139198	-64.03250982
3.94871798	-63.05880854
3.95604399	-78.27021049
3.96337000	-68.87538381
3.97069601	-70.56459860
3.97802201	-76.95848763
3.98534802	-69.35348460
3.99267403	-80.16598157
4.00000004	-76.00281787
4.00732604	-76.81943859
4.01465205	-67.51152697
4.02197806	-68.19280832
4.02930407	-72.13745582
4.03663007	-69.78794974
4.04395608	-71.26538236
4.05128209	-67.31359258
4.05860810	-70.57058821
4.06593410	-68.95310332
4.07326011	-74.35659570
4.08058612	-73.39073099
4.08791213	-71.04924305
4.09523813	-69.11075532
4.10256414	-66.14924621
4.10989015	-67.79718480
4.11721615	-68.20568953
4.12454216	-70.30708575
4.13186817	-84.21126055
4.13919418	-72.24994682
4.14652018	-70.97879971
4.15384619	-76.84491372
4.16117220	-81.45617293
4.16849821	-86.51605432
4.17582421	-76.09261985
4.18315022	-80.33181529
4.19047623	-80.22075952
4.19780224	-74.28304158
4.20512824	-70.67857431
4.21245425	-71.32237945
4.21978026	-77.38811148
4.22710627	-74.12772597
4.23443227	-72.00636743
4.24175828	-82.47400170
4.24908429	-80.04071005
4.25641030	-78.37219894
4.26373630	-71.49293284
4.27106231	-71.01327550
4.27838832	-68.35387023
4.28571433	-69.44323093
4.29304033	-69.76541917
4.30036634	-68.26624153
4.30769235	-73.78999193
4.31501835	-69.01904818
4.32234436	-72.82944328
4.32967037	-77.80712340
4.33699638	-80.29509112
4.34432238	-74.07795493
4.35164839	-80.67225846
4.35897440	-68.78183479
4.36630041	-69.78046022
4.37362641	-74.85417078
4.38095242	-70.89785699
4.38827843	-72.21488770
4.39560444	-78.45509509
4.40293044	-74.56041905
4.41025645	-75.13491341
4.41758246	-81.30368415
4.42490847	-79.62301107
4.43223447	-75.95398817
4.43956048	-72.86736298
4.44688649	-71.83003600
4.45421250	-73.15697039
4.46153850	-75.89386734
4.46886451	-87.86777668
4.47619052	-75.02465714
4.48351652	-83.75803233
4.49084253	-86.51551119
4.49816854	-76.62717153
4.50549455	-76.54505395
4.51282055	-77.76926907
4.52014656	-79.50414479
4.52747257	-81.24802363
4.53479858	-78.34233459
4.54212458	-78.56294978
4.54945059	-75.70661578
4.55677660	-73.47342825
4.56410261	-82.92300286
4.57142861	-90.56737481
4.57875462	-79.43244862
4.58608063	-70.08811258
4.59340664	-73.74027445
4.60073264	-74.96486556
4.60805865	-88.89378585
4.61538466	-85.20988379
4.62271067	-83.55025056
4.63003667	-74.69878847
4.63736268	-76.55530090
4.64468869	-75.95144011
4.65201469	-83.58246296
4.65934070	-73.76697352
4.66666671	-74.74576681
4.67399272	-80.51174938
4.68131872	-80.94284416
4.68864473	-79.84062053
4.69597074	-73.47935553
4.70329675	-72.35204943
4.71062275	-92.61078662
4.71794876	-78.00907765
4.72527477	-77.23540225
4.73260078	-77.05794817
4.73992678	-95.64624863
4.74725279	-81.15218573
4.75457880	-84.00852305
4.76190481	-84.53464746
4.76923081	-77.21021754
4.77655682	-76.97286517
4.78388283	-75.73119319
4.79120884	-80.21892239
4.79853484	-76.67114450
4.80586085	-83.39961164
4.81318686	-78.86603160
4.82051286	-81.68784467
4.82783887	-73.37319822
4.83516488	-74.70699268
4.84249089	-84.27361186
4.84981689	-77.49941374
4.85714290	-79.20877334
4.86446891	-76.93336030
4.87179492	-81.52647623
4.87912092	-76.35083513
4.88644693	-78.98700448
4.89377294	-74.69252194
4.90109895	-82.26554594
4.90842495	-78.88783247
4.91575096	-78.31546961
4.92307697	-86.55145613
4.93040298	-81.46508497
4.93772898	-84.11166246
4.94505499	-85.34325771
4.95238100	-80.94871850
4.95970701	-73.41105256
4.96703301	-82.08510774
4.97435902	-81.47718207
4.98168503	-78.22489949
4.98901103	-83.63364557
4.99633704	-80.30103635
5.00366305	-85.68828291
5.01098906	-81.31245680
5.01831506	-77.46761650
5.02564107	-77.26293586
5.03296708	-77.48074041
5.04029309	-73.71274910
5.04761909	-88.47187997
5.05494510	-75.39299817
5.06227111	-77.51610575
5.06959712	-95.24116200
5.07692312	-77.62360961
5.08424913	-76.04997047
5.09157514	-81.61807481
5.09890115	-78.88334681
5.10622715	-77.42801812
5.11355316	-85.00921192
5.12087917	-86.68309556
5.12820518	-80.75039701
5.13553118	-78.58572446
5.14285719	-86.60409977
5.15018320	-77.39635375
5.15750920	-82.02457576
5.16483521	-78.75728324
5.17216122	-91.59051949
5.17948723	-80.72138786
5.18681323	-86.12393852
5.19413924	-84.18315614
5.20146525	-80.15872462
5.20879126	-91.14106347
5.21611726	-85.02700882
5.22344327	-88.69895340
5.23076928	-83.79466862
5.23809529	-81.44713728
5.24542129	-76.68513874
5.25274730	-77.75891888
5.26007331	-100.23853404
5.26739932	-79.06463569
5.27472532	-77.94575365
5.28205133	-79.72676449
5.28937734	-75.36977653
5.29670335	-74.46242519
5.30402935	-75.39407076
5.31135536	-75.73335005
5.31868137	-74.82782705
5.32600737	-89.64512178
5.33333338	-75.57745497
5.34065939	-79.73407656
5.34798540	-81.46780973
5.35531140	-80.18283007
5.36263741	-81.52259186
5.36996342	-79.76245674
5.37728943	-74.89668651
5.38461543	-89.69856294
5.39194144	-77.21839601
5.39926745	-80.99351605
