# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -229.30000000 ps, Average over 300 waveforms. Timestamp: 2023-05-26T11:53:18
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
2.36630039	-56.57685916
2.37362640	-56.38802819
2.38095240	-53.29484483
2.38827841	-58.27223040
2.39560442	-80.03051511
2.40293042	-58.60871519
2.41025643	-54.29688161
2.41758244	-54.84738504
2.42490845	-53.61294530
2.43223445	-54.95864112
2.43956046	-53.57067361
2.44688647	-55.03272460
2.45421248	-55.80081844
2.46153848	-61.55553308
2.46886449	-69.52788818
2.47619050	-57.89452009
2.48351651	-55.76539207
2.49084251	-55.79637273
2.49816852	-55.75064606
2.50549453	-55.92330215
2.51282054	-55.16732986
2.52014654	-55.47080028
2.52747255	-56.10974996
2.53479856	-56.25540664
2.54212457	-56.40359705
2.54945057	-56.06835465
2.55677658	-56.19260791
2.56410259	-56.77118617
2.57142859	-56.91353681
2.57875460	-56.72383456
2.58608061	-56.73434811
2.59340662	-57.43568789
2.60073262	-57.27219263
2.60805863	-57.58858188
2.61538464	-57.83931884
2.62271065	-59.88856629
2.63003665	-65.34423794
2.63736266	-89.51567256
2.64468867	-76.18351641
2.65201468	-71.20231757
2.65934068	-62.92857799
2.66666669	-65.62631341
2.67399270	-62.62102847
2.68131871	-61.10360641
2.68864471	-69.28490267
2.69597072	-62.19196781
2.70329673	-60.56784371
2.71062274	-61.15647288
2.71794874	-60.75037368
2.72527475	-60.84316930
2.73260076	-61.24584381
2.73992676	-61.31886606
2.74725277	-60.90622892
2.75457878	-61.40007483
2.76190479	-63.18084087
2.76923079	-72.00147852
2.77655680	-80.46027804
2.78388281	-82.58512793
2.79120882	-64.84301379
2.79853482	-61.90315698
2.80586083	-61.32246675
2.81318684	-60.64511620
2.82051285	-60.86276220
2.82783885	-60.65886112
2.83516486	-61.75036496
2.84249087	-61.99924723
2.84981688	-63.42013517
2.85714288	-61.87138157
2.86446889	-61.53149281
2.87179490	-62.24307970
2.87912091	-67.49409566
2.88644691	-80.32919518
2.89377292	-65.09862693
2.90109893	-61.56274534
2.90842493	-61.62055991
2.91575094	-61.45464116
2.92307695	-61.15128315
2.93040296	-62.09852014
2.93772896	-62.92778734
2.94505497	-63.61640053
2.95238098	-63.64470102
2.95970699	-65.23846419
2.96703299	-75.18800003
2.97435900	-76.34108491
2.98168501	-70.99892986
2.98901102	-66.49460742
2.99633702	-64.69018232
3.00366303	-69.26763205
3.01098904	-82.20332739
3.01831505	-77.02780595
3.02564105	-83.18467030
3.03296706	-66.21647437
3.04029307	-64.64785745
3.04761908	-82.47988368
3.05494508	-65.17097560
3.06227109	-62.68864660
3.06959710	-63.80887341
3.07692310	-64.21931168
3.08424911	-64.28853044
3.09157512	-62.87941137
3.09890113	-62.81359549
3.10622713	-62.40126376
3.11355314	-62.93841067
3.12087915	-63.95708749
3.12820516	-68.63829267
3.13553116	-78.42468269
3.14285717	-75.93886412
3.15018318	-66.50367156
3.15750919	-64.75986601
3.16483519	-70.35006686
3.17216120	-78.12768268
3.17948721	-70.25076595
3.18681322	-69.83112224
3.19413922	-64.65701138
3.20146523	-65.39814136
3.20879124	-64.84830750
3.21611725	-67.56256608
3.22344325	-64.67262367
3.23076926	-70.44216406
3.23809527	-68.34391045
3.24542127	-64.04900675
3.25274728	-63.35572899
3.26007329	-62.70439778
3.26739930	-62.97265016
3.27472530	-63.89563618
3.28205131	-63.66872412
3.28937732	-65.21464070
3.29670333	-63.72465067
3.30402933	-64.81854756
3.31135534	-65.45624067
3.31868135	-65.59292930
3.32600736	-69.16587587
3.33333336	-86.42321711
3.34065937	-78.65208003
3.34798538	-67.06525505
3.35531139	-64.93474312
3.36263739	-64.57064065
3.36996340	-63.67762039
3.37728941	-64.37322767
3.38461542	-64.23031717
3.39194142	-64.36523326
3.39926743	-64.53477002
3.40659344	-64.65659148
3.41391944	-65.99959748
3.42124545	-66.03738917
3.42857146	-65.47444708
3.43589747	-65.44685431
3.44322347	-66.42096334
3.45054948	-66.22801402
3.45787549	-66.10447717
3.46520150	-67.69350879
3.47252750	-67.68280413
3.47985351	-67.68896903
3.48717952	-66.58038789
3.49450553	-66.57784206
3.50183153	-68.26399078
3.50915754	-66.39064655
3.51648355	-64.99146326
3.52380956	-65.93165051
3.53113556	-67.56618748
3.53846157	-72.93653582
3.54578758	-75.36588517
3.55311359	-69.95511259
3.56043959	-70.22587289
3.56776560	-70.00282135
3.57509161	-69.48280429
3.58241761	-72.81916416
3.58974362	-70.05829733
3.59706963	-80.60172330
3.60439564	-82.95099796
3.61172164	-79.00964307
3.61904765	-74.83755369
3.62637366	-71.89102695
3.63369967	-70.02543027
3.64102567	-73.21244511
3.64835168	-84.90501193
3.65567769	-83.01346843
3.66300370	-90.95074436
3.67032970	-82.80691330
3.67765571	-76.00601348
3.68498172	-73.64318810
3.69230773	-75.66700999
3.69963373	-74.51603483
3.70695974	-71.92706364
3.71428575	-71.50745355
3.72161176	-73.01870485
3.72893776	-72.08786858
3.73626377	-75.05873051
3.74358978	-72.31277656
3.75091578	-73.64314203
3.75824179	-72.41852376
3.76556780	-71.89940760
3.77289381	-72.10780445
3.78021981	-80.10333726
3.78754582	-75.11921023
3.79487183	-78.18326499
3.80219784	-110.55151660
3.80952384	-87.55275141
3.81684985	-85.43747514
3.82417586	-82.44048172
3.83150187	-85.02965152
3.83882787	-77.64178164
3.84615388	-75.08012564
3.85347989	-75.75602647
3.86080590	-79.77162092
3.86813190	-74.59021927
3.87545791	-79.84778601
3.88278392	-76.57061275
3.89010993	-75.44101936
3.89743593	-85.13110697
3.90476194	-75.05739786
3.91208795	-81.76980845
3.91941395	-72.90000464
3.92673996	-81.82471183
3.93406597	-77.08571127
3.94139198	-81.10399258
3.94871798	-78.98939331
3.95604399	-84.24627739
3.96337000	-79.92932478
3.97069601	-86.67598482
3.97802201	-82.68392144
3.98534802	-82.57074267
3.99267403	-89.14216701
4.00000004	-89.40304097
4.00732604	-81.02679882
4.01465205	-79.61936256
4.02197806	-90.10363854
4.02930407	-75.20504241
4.03663007	-75.05536299
4.04395608	-80.80555005
4.05128209	-82.58030701
4.05860810	-97.74535451
4.06593410	-77.40673986
4.07326011	-79.48838827
4.08058612	-74.90104183
4.08791212	-77.04288509
4.09523813	-79.85563595
4.10256414	-80.94988992
4.10989015	-85.06388032
4.11721615	-87.69423510
4.12454216	-81.72801763
4.13186817	-78.75783105
4.13919418	-76.71373233
4.14652018	-81.58746808
4.15384619	-83.02960826
4.16117220	-88.13062245
4.16849821	-83.95596185
4.17582421	-85.94880296
4.18315022	-98.40649792
4.19047623	-80.64761242
4.19780224	-79.49570538
4.20512824	-94.98108411
4.21245425	-88.95159952
4.21978026	-86.72204930
4.22710627	-80.75426904
4.23443227	-77.49421497
4.24175828	-81.09495896
4.24908429	-84.75599502
4.25641030	-80.68576568
4.26373630	-79.88762019
4.27106231	-89.65326301
4.27838832	-86.33854099
4.28571432	-85.81833206
4.29304033	-88.87625581
4.30036634	-91.74108179
4.30769235	-81.93426485
4.31501835	-93.12882289
4.32234436	-80.24825130
4.32967037	-83.25342754
4.33699638	-83.91852560
4.34432238	-96.82192939
4.35164839	-88.36869945
4.35897440	-93.53819794
4.36630041	-84.08079321
4.37362641	-85.39406724
4.38095242	-83.81379907
4.38827843	-81.57272972
4.39560444	-81.33562192
4.40293044	-89.74939444
4.41025645	-79.23312751
4.41758246	-91.93190939
4.42490847	-79.66478110
4.43223447	-77.54701321
4.43956048	-84.17521444
4.44688649	-78.04654804
4.45421249	-83.06247503
4.46153850	-79.58463573
4.46886451	-92.05981846
4.47619052	-91.30028882
4.48351652	-89.94093413
4.49084253	-92.91310079
4.49816854	-82.86901038
4.50549455	-79.78947141
4.51282055	-83.48484419
4.52014656	-84.77079670
4.52747257	-81.95673144
4.53479858	-91.41936332
4.54212458	-91.97612380
4.54945059	-88.63950849
4.55677660	-96.82891661
4.56410261	-81.86525750
4.57142861	-86.49105963
4.57875462	-93.87168125
4.58608063	-94.80338984
4.59340664	-86.65470019
4.60073264	-97.61116659
4.60805865	-83.36782399
4.61538466	-84.82086807
4.62271066	-84.46304085
4.63003667	-91.54053857
4.63736268	-83.53496040
4.64468869	-82.43653527
4.65201469	-85.43863242
4.65934070	-93.87331717
4.66666671	-80.50552383
4.67399272	-82.88767378
4.68131872	-84.67130919
4.68864473	-95.80085545
4.69597074	-84.66079392
4.70329675	-89.39076242
4.71062275	-87.75182906
4.71794876	-85.44203730
4.72527477	-91.11423518
4.73260078	-91.75528171
4.73992678	-87.26446068
4.74725279	-84.67287668
4.75457880	-86.31455546
4.76190481	-89.27729451
4.76923081	-91.45202528
4.77655682	-92.81012871
4.78388283	-83.97032192
4.79120883	-89.52452537
4.79853484	-87.95138291
4.80586085	-87.53742973
4.81318686	-81.25349662
4.82051286	-86.10670275
4.82783887	-88.96762488
4.83516488	-94.75708417
4.84249089	-83.67798485
4.84981689	-81.20360273
4.85714290	-83.48358649
4.86446891	-77.21121306
4.87179492	-83.52396050
4.87912092	-89.44824235
4.88644693	-93.37375738
4.89377294	-96.42113409
4.90109895	-88.05069716
4.90842495	-89.34837424
4.91575096	-90.48650298
4.92307697	-90.02935075
4.93040298	-91.56160095
4.93772898	-98.93073881
4.94505499	-84.45358579
4.95238100	-91.09424200
4.95970700	-81.29233363
4.96703301	-98.08645994
4.97435902	-87.50906311
4.98168503	-86.21829272
4.98901103	-85.69412323
4.99633704	-88.51520769
5.00366305	-84.86871400
5.01098906	-85.11372038
5.01831506	-84.47444465
5.02564107	-82.11801169
5.03296708	-89.97818316
5.04029309	-86.54091227
5.04761909	-83.15750689
5.05494510	-81.34411952
5.06227111	-80.33852554
5.06959712	-90.71034030
5.07692312	-100.17703440
5.08424913	-84.21293520
5.09157514	-84.51428266
5.09890115	-95.39157084
5.10622715	-91.64442185
5.11355316	-79.02789835
5.12087917	-79.58819883
5.12820517	-85.27985539
5.13553118	-90.09034578
5.14285719	-79.86632205
5.15018320	-78.33734898
5.15750920	-92.31077582
5.16483521	-86.56045163
5.17216122	-87.32008274
5.17948723	-85.57850082
5.18681323	-84.17737971
5.19413924	-106.86181966
5.20146525	-94.69444206
5.20879126	-94.00477224
5.21611726	-82.98607741
5.22344327	-78.15868159
5.23076928	-88.45713642
5.23809529	-89.75093822
5.24542129	-87.81931850
5.25274730	-87.49238851
5.26007331	-87.33693586
5.26739932	-89.19369618
5.27472532	-89.35495461
5.28205133	-83.18015392
5.28937734	-89.57237385
5.29670334	-84.57013836
5.30402935	-79.95514797
5.31135536	-103.69675476
5.31868137	-82.65257173
5.32600737	-83.36715363
5.33333338	-84.57849483
5.34065939	-90.75044200
5.34798540	-86.07811274
5.35531140	-83.48798689
