# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -229.30000000 ps, Average over 300 waveforms. Timestamp: 2023-05-26T11:38:01
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-218.03333329	0.00535360
-217.99999995	0.00510054
-217.96666662	0.00502428
-217.93333329	0.00471011
-217.89999995	0.00456210
-217.86666662	0.00397294
-217.83333329	0.00328012
-217.79999995	0.00253853
-217.76666662	0.00196278
-217.73333329	0.00108681
-217.69999995	0.00011218
-217.66666662	-0.00059036
-217.63333329	-0.00137331
-217.59999995	-0.00198187
-217.56666662	-0.00267664
-217.53333329	-0.00315805
-217.49999995	-0.00334020
-217.46666662	-0.00344740
-217.43333329	-0.00350767
-217.39999995	-0.00308979
-217.36666662	-0.00290036
-217.33333329	-0.00264180
-217.29999995	-0.00207308
-217.26666662	-0.00147085
-217.23333329	-0.00110140
-217.19999995	-0.00039610
-217.16666662	0.00022275
-217.13333328	0.00093600
-217.09999995	0.00147887
-217.06666662	0.00198638
-217.03333328	0.00267061
-216.99999995	0.00327093
-216.96666662	0.00375606
-216.93333328	0.00419182
-216.89999995	0.00478843
-216.86666662	0.00505803
-216.83333328	0.00551128
-216.79999995	0.00564439
-216.76666662	0.00602647
-216.73333328	0.00617705
-216.69999995	0.00622348
-216.66666662	0.00616302
-216.63333328	0.00599428
-216.59999995	0.00577242
-216.56666662	0.00554411
-216.53333328	0.00496211
-216.49999995	0.00416190
-216.46666662	0.00348025
-216.43333328	0.00262886
-216.39999995	0.00173961
-216.36666662	0.00065717
-216.33333328	-0.00052765
-216.29999995	-0.00162750
-216.26666661	-0.00283198
-216.23333328	-0.00383678
-216.19999995	-0.00487145
-216.16666661	-0.00590945
-216.13333328	-0.00654907
-216.09999995	-0.00690274
-216.06666661	-0.00725190
-216.03333328	-0.00717917
-215.99999995	-0.00673309
-215.96666661	-0.00603768
-215.93333328	-0.00509480
-215.89999995	-0.00394875
-215.86666661	-0.00289821
-215.83333328	-0.00137957
-215.79999995	0.00022415
-215.76666661	0.00148812
-215.73333328	0.00308552
-215.69999995	0.00436639
-215.66666661	0.00579233
-215.63333328	0.00683920
-215.59999995	0.00786787
-215.56666661	0.00869740
-215.53333328	0.00947717
-215.49999995	0.01001407
-215.46666661	0.01044696
-215.43333328	0.01074209
-215.39999994	0.01091567
-215.36666661	0.01103940
-215.33333328	0.01088983
-215.29999994	0.01073907
-215.26666661	0.01062283
-215.23333328	0.01020261
-215.19999994	0.01003135
-215.16666661	0.00982586
-215.13333328	0.00923592
-215.09999994	0.00909367
-215.06666661	0.00867795
-215.03333328	0.00840476
-214.99999994	0.00811209
-214.96666661	0.00741636
-214.93333328	0.00707224
-214.89999994	0.00679356
-214.86666661	0.00645619
-214.83333328	0.00619644
-214.79999994	0.00587626
-214.76666661	0.00573852
-214.73333328	0.00552488
-214.69999994	0.00535824
-214.66666661	0.00512813
-214.63333328	0.00492740
-214.59999994	0.00482299
-214.56666661	0.00495152
-214.53333327	0.00501364
-214.49999994	0.00505488
-214.46666661	0.00506297
-214.43333327	0.00522403
-214.39999994	0.00531963
-214.36666661	0.00528726
-214.33333327	0.00528202
-214.29999994	0.00565324
-214.26666661	0.00560332
-214.23333327	0.00559990
-214.19999994	0.00595600
-214.16666661	0.00560997
-214.13333327	0.00558306
-214.09999994	0.00569508
-214.06666661	0.00557540
-214.03333327	0.00558328
-213.99999994	0.00542106
-213.96666661	0.00523953
-213.93333327	0.00518625
-213.89999994	0.00493291
-213.86666661	0.00464350
-213.83333327	0.00447536
-213.79999994	0.00430372
-213.76666660	0.00414502
-213.73333327	0.00396259
-213.69999994	0.00411555
-213.66666660	0.00379791
-213.63333327	0.00385946
-213.59999994	0.00408737
-213.56666660	0.00441917
-213.53333327	0.00456867
-213.49999994	0.00486020
-213.46666660	0.00513798
-213.43333327	0.00563087
-213.39999994	0.00625109
-213.36666660	0.00671167
-213.33333327	0.00715217
-213.29999994	0.00761645
-213.26666660	0.00830171
-213.23333327	0.00887380
-213.19999994	0.00896271
-213.16666660	0.00956374
-213.13333327	0.01004274
-213.09999994	0.01047413
-213.06666660	0.01078366
-213.03333327	0.01133499
-212.99999994	0.01167926
-212.96666660	0.01222290
-212.93333327	0.01247747
-212.89999993	0.01310989
-212.86666660	0.01370248
-212.83333327	0.01417794
-212.79999993	0.01476794
-212.76666660	0.01529657
-212.73333327	0.01602685
-212.69999993	0.01667866
-212.66666660	0.01738046
-212.63333327	0.01839254
-212.59999993	0.01943000
-212.56666660	0.02019248
-212.53333327	0.02110872
-212.49999993	0.02198986
-212.46666660	0.02309878
-212.43333327	0.02428869
-212.39999993	0.02524286
-212.36666660	0.02661653
-212.33333327	0.02800385
-212.29999993	0.02930444
-212.26666660	0.03074353
-212.23333327	0.03229018
-212.19999993	0.03412041
-212.16666660	0.03570500
-212.13333327	0.03763540
-212.09999993	0.03973703
-212.06666660	0.04210612
-212.03333326	0.04427261
-211.99999993	0.04689281
-211.96666660	0.04957879
-211.93333326	0.05242725
-211.89999993	0.05534113
-211.86666660	0.05872418
-211.83333326	0.06208325
-211.79999993	0.06556241
-211.76666660	0.06950795
-211.73333326	0.07331042
-211.69999993	0.07740579
-211.66666660	0.08190643
-211.63333326	0.08667636
-211.59999993	0.09165417
-211.56666660	0.09684315
-211.53333326	0.10251942
-211.49999993	0.10846614
-211.46666660	0.11449426
-211.43333326	0.12105854
-211.39999993	0.12805983
-211.36666660	0.13529823
-211.33333326	0.14296385
-211.29999993	0.15096489
-211.26666660	0.15934501
-211.23333326	0.16800855
-211.19999993	0.17721640
-211.16666659	0.18675138
-211.13333326	0.19681412
-211.09999993	0.20709384
-211.06666659	0.21794215
-211.03333326	0.22933474
-210.99999993	0.24096333
-210.96666659	0.25317840
-210.93333326	0.26552431
-210.89999993	0.27877377
-210.86666659	0.29197727
-210.83333326	0.30544969
-210.79999993	0.31871763
-210.76666659	0.33214888
-210.73333326	0.34474729
-210.69999993	0.35674438
-210.66666659	0.36779014
-210.63333326	0.37739386
-210.59999993	0.38448741
-210.56666659	0.38906807
-210.53333326	0.39009577
-210.49999993	0.38676421
-210.46666659	0.37752660
-210.43333326	0.36103781
-210.39999993	0.33506689
-210.36666659	0.29673606
-210.33333326	0.24341619
-210.29999992	0.17068675
-210.26666659	0.07414540
-210.23333326	-0.05068332
-210.19999992	-0.20829957
-210.16666659	-0.40272116
-210.13333326	-0.63580672
-210.09999992	-0.90785402
-210.06666659	-1.21545379
-210.03333326	-1.55177227
-209.99999992	-1.90581815
-209.96666659	-2.26297514
-209.93333326	-2.60560519
-209.89999992	-2.91534241
-209.86666659	-3.17343451
-209.83333326	-3.36396362
-209.79999992	-3.47436874
-209.76666659	-3.49713352
-209.73333326	-3.42998892
-209.69999992	-3.27681964
-209.66666659	-3.04583370
-209.63333326	-2.74872093
-209.59999992	-2.40042513
-209.56666659	-2.01593119
-209.53333325	-1.61082762
-209.49999992	-1.19945663
-209.46666659	-0.79454520
-209.43333325	-0.40584397
-209.39999992	-0.04083724
-209.36666659	0.29515145
-209.33333325	0.59936342
-209.29999992	0.87014590
-209.26666659	1.10696009
-209.23333325	1.30933852
-209.19999992	1.47779843
-209.16666659	1.61330596
-209.13333325	1.71779052
-209.09999992	1.79419640
-209.06666659	1.84594297
-209.03333325	1.87608847
-208.99999992	1.88849609
-208.96666659	1.88501526
-208.93333325	1.86757567
-208.89999992	1.83776183
-208.86666659	1.79702863
-208.83333325	1.74630274
-208.79999992	1.68616549
-208.76666659	1.61737504
-208.73333325	1.53984873
-208.69999992	1.45418540
-208.66666658	1.36019787
-208.63333325	1.25955636
-208.59999992	1.15242320
-208.56666658	1.04108597
-208.53333325	0.92772267
-208.49999992	0.81541634
-208.46666658	0.70784281
-208.43333325	0.60795170
-208.39999992	0.51898666
-208.36666658	0.44313406
-208.33333325	0.38168859
-208.29999992	0.33529649
-208.26666658	0.30304394
-208.23333325	0.28329146
-208.19999992	0.27345080
-208.16666658	0.27058747
-208.13333325	0.27102219
-208.09999992	0.27111060
-208.06666658	0.26727441
-208.03333325	0.25649954
-207.99999992	0.23659159
-207.96666658	0.20680573
-207.93333325	0.16786139
-207.89999992	0.12155278
-207.86666658	0.07115900
-207.83333325	0.01970043
-207.79999991	-0.02939590
-207.76666658	-0.07286217
-207.73333325	-0.10908155
-207.69999991	-0.13654426
-207.66666658	-0.15450935
-207.63333325	-0.16392223
-207.59999991	-0.16539424
-207.56666658	-0.16025080
-207.53333325	-0.15042355
-207.49999991	-0.13714484
-207.46666658	-0.12209861
-207.43333325	-0.10679280
-207.39999991	-0.09203377
-207.36666658	-0.07874136
-207.33333325	-0.06694525
-207.29999991	-0.05708974
-207.26666658	-0.04880783
-207.23333325	-0.04216587
-207.19999991	-0.03723341
-207.16666658	-0.03414756
-207.13333325	-0.03274165
-207.09999991	-0.03346777
-207.06666658	-0.03556710
-207.03333325	-0.03892359
-206.99999991	-0.04322926
-206.96666658	-0.04838195
-206.93333324	-0.05439080
-206.89999991	-0.06183454
-206.86666658	-0.07122247
-206.83333324	-0.08261255
-206.79999991	-0.09529036
-206.76666658	-0.10870168
-206.73333324	-0.12195530
-206.69999991	-0.13329266
-206.66666658	-0.14160579
-206.63333324	-0.14543085
-206.59999991	-0.14406950
-206.56666658	-0.13673433
-206.53333324	-0.12329725
-206.49999991	-0.10380430
-206.46666658	-0.07900045
-206.43333324	-0.04965926
-206.39999991	-0.01768077
-206.36666658	0.01547252
-206.33333324	0.04755410
-206.29999991	0.07600027
-206.26666658	0.09865112
-206.23333324	0.11339756
-206.19999991	0.11873056
-206.16666658	0.11427439
-206.13333324	0.10036009
-206.09999991	0.07794097
-206.06666657	0.04914019
-206.03333324	0.01649832
-205.99999991	-0.01766934
-205.96666657	-0.04992335
-205.93333324	-0.07798387
-205.89999991	-0.09937829
-205.86666657	-0.11256885
-205.83333324	-0.11699754
-205.79999991	-0.11361625
-205.76666657	-0.10399581
-205.73333324	-0.09050307
-205.69999991	-0.07574293
-205.66666657	-0.06205400
-205.63333324	-0.05127616
-205.59999991	-0.04437983
-205.56666657	-0.04268661
-205.53333324	-0.04576371
-205.49999991	-0.05368143
-205.46666657	-0.06520891
-205.43333324	-0.07917180
-205.39999991	-0.09430102
-205.36666657	-0.10914012
-205.33333324	-0.12282193
-205.29999991	-0.13414171
-205.26666657	-0.14277192
-205.23333324	-0.14861835
-205.19999990	-0.15143404
-205.16666657	-0.15103311
-205.13333324	-0.14749692
-205.09999990	-0.14108365
-205.06666657	-0.13194238
-205.03333324	-0.12038489
-204.99999990	-0.10686040
-204.96666657	-0.09237373
-204.93333324	-0.07738002
-204.89999990	-0.06310900
-204.86666657	-0.04988615
-204.83333324	-0.03877242
-204.79999990	-0.02926740
-204.76666657	-0.02101256
-204.73333324	-0.01296930
-204.69999990	-0.00417434
-204.66666657	0.00578499
-204.63333324	0.01694711
-204.59999990	0.02873667
-204.56666657	0.04008925
-204.53333324	0.04999379
-204.49999990	0.05745782
-204.46666657	0.06161981
-204.43333323	0.06260719
-204.39999990	0.05990215
-204.36666657	0.05353178
-204.33333323	0.04419846
-204.29999990	0.03264612
-204.26666657	0.01955965
-204.23333323	0.00595586
-204.19999990	-0.00687880
-204.16666657	-0.01888543
-204.13333323	-0.02963601
-204.09999990	-0.03963133
-204.06666657	-0.04917101
-204.03333323	-0.05822400
-203.99999990	-0.06660425
-203.96666657	-0.07463584
-203.93333323	-0.08179639
-203.89999990	-0.08786672
-203.86666657	-0.09315610
-203.83333323	-0.09745558
-203.79999990	-0.10068133
-203.76666657	-0.10313251
-203.73333323	-0.10348429
-203.69999990	-0.10194824
-203.66666657	-0.09774849
-203.63333323	-0.09084941
-203.59999990	-0.08158273
-203.56666656	-0.07028198
-203.53333323	-0.05770711
-203.49999990	-0.04437858
-203.46666656	-0.03141066
-203.43333323	-0.01882698
-203.39999990	-0.00813542
-203.36666656	0.00015938
-203.33333323	0.00545096
-203.29999990	0.00768399
-203.26666656	0.00688947
-203.23333323	0.00445929
-203.19999990	0.00130955
-203.16666656	-0.00113627
-203.13333323	-0.00255621
-203.09999990	-0.00229286
-203.06666656	-0.00078684
-203.03333323	0.00154376
-202.99999990	0.00434304
-202.96666656	0.00715418
-202.93333323	0.01066392
-202.89999990	0.01456677
-202.86666656	0.01950601
-202.83333323	0.02530124
-202.79999990	0.03129495
-202.76666656	0.03715282
-202.73333323	0.04194827
-202.69999989	0.04506201
-202.66666656	0.04602424
-202.63333323	0.04395811
-202.59999989	0.03915350
-202.56666656	0.03079025
-202.53333323	0.01936982
-202.49999989	0.00444679
-202.46666656	-0.01230611
-202.43333323	-0.03033889
-202.39999989	-0.04814612
-202.36666656	-0.06450126
-202.33333323	-0.07897728
-202.29999989	-0.09059353
-202.26666656	-0.09933784
-202.23333323	-0.10499282
-202.19999989	-0.10746507
-202.16666656	-0.10675751
-202.13333323	-0.10309510
-202.09999989	-0.09644679
-202.06666656	-0.08784527
-202.03333323	-0.07750099
-201.99999989	-0.06646542
-201.96666656	-0.05554095
-201.93333323	-0.04541763
-201.89999989	-0.03701110
-201.86666656	-0.03037853
-201.83333322	-0.02534774
-201.79999989	-0.02129115
-201.76666656	-0.01792972
-201.73333322	-0.01461148
-201.69999989	-0.01083601
-201.66666656	-0.00588037
-201.63333322	0.00003315
-201.59999989	0.00714477
-201.56666656	0.01471361
-201.53333322	0.02209010
-201.49999989	0.02788312
-201.46666656	0.03186783
-201.43333322	0.03333477
-201.39999989	0.03204195
-201.36666656	0.02838413
-201.33333322	0.02280401
-201.29999989	0.01608121
-201.26666656	0.00843384
-201.23333322	0.00087896
-201.19999989	-0.00619315
-201.16666656	-0.01225486
-201.13333322	-0.01687475
-201.09999989	-0.01973966
-201.06666656	-0.02036035
-201.03333322	-0.01817535
-200.99999989	-0.01387647
-200.96666655	-0.00707913
-200.93333322	0.00150971
-200.89999989	0.01182508
-200.86666655	0.02353921
-200.83333322	0.03646518
-200.79999989	0.05009033
-200.76666655	0.06396694
-200.73333322	0.07716646
-200.69999989	0.08933091
-200.66666655	0.09884728
-200.63333322	0.10528346
-200.59999989	0.10782571
-200.56666655	0.10569126
-200.53333322	0.09911414
-200.49999989	0.08839268
-200.46666655	0.07408856
-200.43333322	0.05671138
-200.39999989	0.03740734
-200.36666655	0.01718486
-200.33333322	-0.00229473
-200.29999989	-0.02075605
-200.26666655	-0.03616158
-200.23333322	-0.04894791
-200.19999989	-0.05828468
-200.16666655	-0.06511571
-200.13333322	-0.06921758
-200.09999988	-0.07169860
-200.06666655	-0.07291311
-200.03333322	-0.07285883
-199.99999988	-0.07157552
-199.96666655	-0.06911727
-199.93333322	-0.06543643
-199.89999988	-0.05997959
-199.86666655	-0.05331724
-199.83333322	-0.04552712
-199.79999988	-0.03740655
-199.76666655	-0.02976929
-199.73333322	-0.02290666
-199.69999988	-0.01758571
-199.66666655	-0.01384333
-199.63333322	-0.01165726
-199.59999988	-0.01054413
-199.56666655	-0.01003713
-199.53333322	-0.00986625
-199.49999988	-0.00920380
-199.46666655	-0.00796730
-199.43333322	-0.00584721
-199.39999988	-0.00296691
-199.36666655	0.00081330
-199.33333321	0.00511708
-199.29999988	0.01022899
-199.26666655	0.01557766
-199.23333321	0.02102282
-199.19999988	0.02658914
-199.16666655	0.03180750
-199.13333321	0.03711193
-199.09999988	0.04199338
-199.06666655	0.04637131
-199.03333321	0.05037648
-198.99999988	0.05363050
-198.96666655	0.05587255
-198.93333321	0.05739081
-198.89999988	0.05785737
-198.86666655	0.05729511
-198.83333321	0.05560433
-198.79999988	0.05294380
-198.76666655	0.04869625
-198.73333321	0.04331477
-198.69999988	0.03668939
-198.66666655	0.02908658
-198.63333321	0.02094596
-198.59999988	0.01229244
-198.56666655	0.00350644
-198.53333321	-0.00588739
-198.49999988	-0.01538860
-198.46666654	-0.02556500
-198.43333321	-0.03601735
-198.39999988	-0.04696511
-198.36666654	-0.05780350
-198.33333321	-0.06822784
-198.29999988	-0.07785792
-198.26666654	-0.08622231
-198.23333321	-0.09272069
-198.19999988	-0.09642896
-198.16666654	-0.09710777
-198.13333321	-0.09437582
-198.09999988	-0.08789777
-198.06666654	-0.07765893
-198.03333321	-0.06420928
-197.99999988	-0.04806856
-197.96666654	-0.02999678
-197.93333321	-0.01092423
-197.89999988	0.00818523
-197.86666654	0.02652721
-197.83333321	0.04306256
-197.79999988	0.05687227
-197.76666654	0.06699391
-197.73333321	0.07251508
-197.69999988	0.07333784
-197.66666654	0.06911784
-197.63333321	0.05993852
-197.59999987	0.04627438
-197.56666654	0.02980929
-197.53333321	0.01154944
-197.49999987	-0.00617311
-197.46666654	-0.02241628
-197.43333321	-0.03526848
-197.39999987	-0.04396004
-197.36666654	-0.04794503
-197.33333321	-0.04688066
-197.29999987	-0.04123453
-197.26666654	-0.03168349
-197.23333321	-0.01900411
-197.19999987	-0.00399617
-197.16666654	0.01205899
-197.13333321	0.02807191
-197.09999987	0.04261524
-197.06666654	0.05466543
-197.03333321	0.06333213
-196.99999987	0.06771766
-196.96666654	0.06787244
-196.93333321	0.06364762
-196.89999987	0.05563207
-196.86666654	0.04449025
-196.83333321	0.03111219
-196.79999987	0.01674506
-196.76666654	0.00235950
-196.73333320	-0.01097905
-196.69999987	-0.02249487
-196.66666654	-0.03146544
-196.63333320	-0.03779836
-196.59999987	-0.04160570
-196.56666654	-0.04336555
-196.53333320	-0.04363933
-196.49999987	-0.04315610
-196.46666654	-0.04259575
-196.43333320	-0.04215884
-196.39999987	-0.04181582
-196.36666654	-0.04133524
-196.33333320	-0.04064951
-196.29999987	-0.03919203
-196.26666654	-0.03646195
-196.23333320	-0.03220151
-196.19999987	-0.02611807
-196.16666654	-0.01847161
-196.13333320	-0.00940847
-196.09999987	0.00032076
-196.06666654	0.00963633
-196.03333320	0.01748381
-195.99999987	0.02312588
-195.96666654	0.02598129
-195.93333320	0.02546025
-195.89999987	0.02168120
-195.86666653	0.01462578
-195.83333320	0.00524382
-195.79999987	-0.00615606
-195.76666653	-0.01809856
-195.73333320	-0.02942200
-195.69999987	-0.03886611
