# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -229.30000000 ps, Average over 300 waveforms. Timestamp: 2023-05-26T11:53:18
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-211.06666682	0.02165989
-211.03333349	0.02249543
-211.00000016	0.02366285
-210.96666682	0.02473828
-210.93333349	0.02597814
-210.90000016	0.02740786
-210.86666682	0.02869750
-210.83333349	0.03013148
-210.80000016	0.03172130
-210.76666683	0.03347137
-210.73333349	0.03529834
-210.70000016	0.03711247
-210.66666683	0.03914496
-210.63333349	0.04163605
-210.60000016	0.04415646
-210.56666683	0.04661425
-210.53333349	0.04939852
-210.50000016	0.05240137
-210.46666683	0.05556556
-210.43333350	0.05874874
-210.40000016	0.06231624
-210.36666683	0.06593801
-210.33333350	0.06989473
-210.30000016	0.07396027
-210.26666683	0.07840726
-210.23333350	0.08302882
-210.20000016	0.08801085
-210.16666683	0.09327460
-210.13333350	0.09878963
-210.10000016	0.10433543
-210.06666683	0.11053176
-210.03333350	0.11709150
-210.00000017	0.12376917
-209.96666683	0.13094100
-209.93333350	0.13839525
-209.90000017	0.14616176
-209.86666683	0.15423011
-209.83333350	0.16276729
-209.80000017	0.17170898
-209.76666683	0.18114808
-209.73333350	0.19088900
-209.70000017	0.20098429
-209.66666684	0.21158943
-209.63333350	0.22258330
-209.60000017	0.23397184
-209.56666684	0.24591842
-209.53333350	0.25775905
-209.50000017	0.27024536
-209.46666684	0.28282197
-209.43333350	0.29527440
-209.40000017	0.30775948
-209.36666684	0.31980699
-209.33333351	0.33146528
-209.30000017	0.34198431
-209.26666684	0.35141127
-209.23333351	0.35906611
-209.20000017	0.36401931
-209.16666684	0.36647697
-209.13333351	0.36451443
-209.10000017	0.35758604
-209.06666684	0.34437594
-209.03333351	0.32263191
-209.00000017	0.29082582
-208.96666684	0.24662729
-208.93333351	0.18705417
-208.90000018	0.10949755
-208.86666684	0.01110365
-208.83333351	-0.11059278
-208.80000018	-0.25785606
-208.76666684	-0.43143844
-208.73333351	-0.63139823
-208.70000018	-0.85590050
-208.66666684	-1.10044512
-208.63333351	-1.35941239
-208.60000018	-1.62466818
-208.56666685	-1.88621791
-208.53333351	-2.13416185
