# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -229.30000000 ps, Average over 300 waveforms. Timestamp: 2023-05-26T11:40:20
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-212.76666681	0.00526253
-212.73333348	0.00623511
-212.70000014	0.00717948
-212.66666681	0.00804572
-212.63333348	0.00882043
-212.60000015	0.00959557
-212.56666681	0.01009846
-212.53333348	0.01051275
-212.50000015	0.01099059
-212.46666681	0.01139630
-212.43333348	0.01151588
-212.40000015	0.01190629
-212.36666681	0.01171623
-212.33333348	0.01194438
-212.30000015	0.01192785
-212.26666681	0.01186532
-212.23333348	0.01146427
-212.20000015	0.01128988
-212.16666682	0.01122218
-212.13333348	0.01075401
-212.10000015	0.01058197
-212.06666682	0.01039417
-212.03333348	0.01021832
-212.00000015	0.00968268
-211.96666682	0.00944474
-211.93333348	0.00917492
-211.90000015	0.00901671
-211.86666682	0.00856068
-211.83333349	0.00827266
-211.80000015	0.00814957
-211.76666682	0.00793924
-211.73333349	0.00756257
-211.70000015	0.00740210
-211.66666682	0.00748270
-211.63333349	0.00736957
-211.60000015	0.00733344
-211.56666682	0.00731745
-211.53333349	0.00731144
-211.50000016	0.00739543
-211.46666682	0.00740197
-211.43333349	0.00743808
-211.40000016	0.00749840
-211.36666682	0.00735618
-211.33333349	0.00755354
-211.30000016	0.00755212
-211.26666682	0.00759743
-211.23333349	0.00742460
-211.20000016	0.00745688
-211.16666682	0.00754806
-211.13333349	0.00738393
-211.10000016	0.00715647
-211.06666683	0.00714932
-211.03333349	0.00728733
-211.00000016	0.00695502
-210.96666683	0.00691575
-210.93333349	0.00665783
-210.90000016	0.00637303
-210.86666683	0.00630148
-210.83333349	0.00617788
-210.80000016	0.00620896
-210.76666683	0.00628437
-210.73333350	0.00615710
-210.70000016	0.00624913
-210.66666683	0.00652424
-210.63333350	0.00655120
-210.60000016	0.00692520
-210.56666683	0.00698265
-210.53333350	0.00726476
-210.50000016	0.00766027
-210.46666683	0.00800358
-210.43333350	0.00832799
-210.40000017	0.00886900
-210.36666683	0.00918945
-210.33333350	0.00970412
-210.30000017	0.00996327
-210.26666683	0.01040379
-210.23333350	0.01080334
-210.20000017	0.01115039
-210.16666683	0.01158998
-210.13333350	0.01211620
-210.10000017	0.01260436
-210.06666683	0.01299946
-210.03333350	0.01339278
-210.00000017	0.01384585
-209.96666684	0.01444894
-209.93333350	0.01489780
-209.90000017	0.01545389
-209.86666684	0.01618385
-209.83333350	0.01669880
-209.80000017	0.01750322
-209.76666684	0.01816738
-209.73333350	0.01888899
-209.70000017	0.01959478
-209.66666684	0.02045589
-209.63333351	0.02132705
-209.60000017	0.02230722
-209.56666684	0.02298831
-209.53333351	0.02409633
-209.50000017	0.02509100
-209.46666684	0.02622889
-209.43333351	0.02748374
-209.40000017	0.02861244
-209.36666684	0.02994824
-209.33333351	0.03149777
-209.30000017	0.03286993
-209.26666684	0.03485196
-209.23333351	0.03644917
-209.20000018	0.03832814
-209.16666684	0.04049644
-209.13333351	0.04281236
-209.10000018	0.04500173
-209.06666684	0.04767912
-209.03333351	0.05016840
-209.00000018	0.05297349
-208.96666684	0.05603620
-208.93333351	0.05924859
-208.90000018	0.06227174
-208.86666685	0.06596586
-208.83333351	0.06959643
-208.80000018	0.07347455
-208.76666685	0.07760045
-208.73333351	0.08190205
-208.70000018	0.08656069
-208.66666685	0.09140186
-208.63333351	0.09661409
-208.60000018	0.10212550
-208.56666685	0.10800974
-208.53333352	0.11387358
-208.50000018	0.12029479
-208.46666685	0.12693410
