# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -229.30000000 ps, Average over 300 waveforms. Timestamp: 2023-05-26T11:40:20
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
3.67765571	-71.20529403
3.68498172	-71.90993622
3.69230773	-76.40620852
3.69963373	-72.27620708
3.70695974	-67.59750825
3.71428575	-69.38248774
3.72161175	-67.63624251
3.72893776	-69.72342828
3.73626377	-68.34810296
3.74358978	-70.09088512
3.75091578	-68.93961667
3.75824179	-68.70019502
3.76556780	-69.17609933
3.77289381	-69.91942585
3.78021981	-71.56846849
3.78754582	-74.07834460
3.79487183	-74.30016370
3.80219784	-87.66574878
3.80952384	-82.53344190
3.81684985	-83.35840575
3.82417586	-83.23923374
3.83150187	-75.85124474
3.83882787	-72.87941445
3.84615388	-70.15581552
3.85347989	-71.37000411
3.86080590	-73.33369103
3.86813190	-73.41061301
3.87545791	-71.31679986
3.88278392	-72.10292648
3.89010992	-73.95131753
3.89743593	-72.10249820
3.90476194	-75.08754069
3.91208795	-71.68860832
3.91941395	-73.54445834
3.92673996	-75.94422360
3.93406597	-71.46579541
3.94139198	-72.81493826
3.94871798	-77.57742054
3.95604399	-93.36731285
3.96337000	-80.98914378
3.97069601	-86.30506623
3.97802201	-92.35834513
3.98534802	-94.93047950
3.99267403	-93.08296827
4.00000004	-86.04248156
4.00732604	-83.21955080
4.01465205	-77.42085894
4.02197806	-78.51886580
4.02930407	-76.22113351
4.03663007	-73.46772923
4.04395608	-79.27379751
4.05128209	-79.05300435
4.05860809	-80.73364366
4.06593410	-79.89035843
4.07326011	-78.34710220
4.08058612	-82.44447698
4.08791212	-81.81377544
4.09523813	-77.48628695
4.10256414	-77.13670434
4.10989015	-79.70119423
4.11721615	-78.06235142
4.12454216	-78.23101869
4.13186817	-78.09835438
4.13919418	-81.41144967
4.14652018	-80.94521435
4.15384619	-75.77219976
4.16117220	-83.47815453
4.16849821	-81.70717649
4.17582421	-87.70533305
4.18315022	-84.46961133
4.19047623	-85.16524404
4.19780224	-87.96576005
4.20512824	-79.12890923
4.21245425	-77.05069928
4.21978026	-84.37668236
4.22710626	-81.92510281
4.23443227	-79.88866777
4.24175828	-88.92184409
4.24908429	-87.59629574
4.25641029	-83.89635194
4.26373630	-83.63850125
4.27106231	-93.46077356
4.27838832	-78.54185861
4.28571432	-81.10480129
4.29304033	-79.47442413
4.30036634	-79.32943641
4.30769235	-80.74064837
4.31501835	-78.82217251
4.32234436	-85.18218816
4.32967037	-83.72506878
4.33699638	-80.17149900
4.34432238	-80.27726449
4.35164839	-79.99996174
4.35897440	-81.21852467
4.36630041	-80.79727924
4.37362641	-83.62789340
4.38095242	-76.93121816
4.38827843	-85.02942170
4.39560443	-86.78142619
4.40293044	-84.59304917
4.41025645	-91.49246510
4.41758246	-85.14648101
4.42490846	-84.05492472
4.43223447	-89.91275855
4.43956048	-92.07797231
4.44688649	-88.37410672
4.45421249	-82.54241959
4.46153850	-92.01407880
4.46886451	-84.79917537
4.47619052	-86.31941663
4.48351652	-83.67918261
4.49084253	-86.70619742
4.49816854	-96.11505346
4.50549455	-82.63433448
4.51282055	-85.69415359
4.52014656	-85.16729674
4.52747257	-91.43874592
4.53479858	-87.85156416
4.54212458	-91.93267459
4.54945059	-88.75170488
4.55677660	-84.80363647
4.56410260	-90.13812415
4.57142861	-79.53068446
4.57875462	-84.20859581
4.58608063	-81.09875837
4.59340663	-77.47057657
4.60073264	-83.48722896
4.60805865	-85.23100969
4.61538466	-103.93379191
4.62271066	-87.55262114
4.63003667	-89.37819199
4.63736268	-92.92541504
4.64468869	-85.87756731
4.65201469	-82.05957094
4.65934070	-88.09554909
4.66666671	-87.62485935
4.67399272	-81.47424336
4.68131872	-87.17464798
4.68864473	-86.09840314
4.69597074	-82.88927506
4.70329675	-91.66685715
4.71062275	-89.21748524
4.71794876	-96.80856835
4.72527477	-79.07698816
4.73260077	-80.30369954
4.73992678	-94.05841243
4.74725279	-86.07445407
4.75457880	-88.52196103
4.76190480	-88.11242476
4.76923081	-93.10348151
4.77655682	-81.95785325
4.78388283	-84.43127620
4.79120883	-78.87591529
4.79853484	-91.70514059
4.80586085	-82.71868729
4.81318686	-88.53899537
4.82051286	-107.67024050
4.82783887	-86.24977030
4.83516488	-85.54220390
4.84249089	-81.86849319
4.84981689	-81.81786851
4.85714290	-89.82012579
4.86446891	-99.71167306
4.87179492	-81.82272157
4.87912092	-87.97078386
4.88644693	-99.30104517
4.89377294	-81.51003562
4.90109894	-85.54723911
4.90842495	-80.68916014
4.91575096	-78.43372757
4.92307697	-80.10175785
4.93040297	-85.29185179
4.93772898	-81.52475611
4.94505499	-81.55968023
4.95238100	-95.75557806
4.95970700	-97.03731238
4.96703301	-85.73060397
4.97435902	-91.95602233
4.98168503	-97.76362652
4.98901103	-96.70514308
4.99633704	-98.31067153
5.00366305	-94.04654294
5.01098906	-82.60954710
5.01831506	-81.93600977
5.02564107	-82.87697616
5.03296708	-88.97717561
5.04029309	-90.43987611
5.04761909	-90.29010903
5.05494510	-93.81912652
5.06227111	-80.98603848
5.06959711	-81.84072594
5.07692312	-95.73909778
5.08424913	-79.83248540
5.09157514	-86.69561153
5.09890114	-82.79486411
5.10622715	-88.53802701
5.11355316	-88.47048200
5.12087917	-84.54926067
5.12820517	-87.25768610
5.13553118	-99.12042207
5.14285719	-84.16365883
5.15018320	-82.54229176
5.15750920	-90.82432053
5.16483521	-83.75671305
5.17216122	-90.92146197
5.17948723	-86.97188142
5.18681323	-81.20453967
5.19413924	-87.20630512
5.20146525	-79.69950235
5.20879126	-85.63216682
5.21611726	-99.70849124
5.22344327	-88.77970655
5.23076928	-80.00648298
5.23809528	-78.60736249
5.24542129	-87.29216616
5.25274730	-80.94836916
5.26007331	-89.36007714
5.26739931	-80.49907680
5.27472532	-84.17899685
5.28205133	-87.05817423
5.28937734	-83.33919243
5.29670334	-90.76506694
5.30402935	-103.23107584
5.31135536	-87.90180433
5.31868137	-83.52674079
5.32600737	-87.03316932
5.33333338	-90.54669319
5.34065939	-91.99526035
