# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -229.30000000 ps, Average over 300 waveforms. Timestamp: 2023-05-26T11:38:01
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
2.84249083	-58.59176861
2.84981684	-59.53439806
2.85714285	-59.36753085
2.86446885	-59.57403335
2.87179486	-59.78120875
2.87912087	-64.43470670
2.88644688	-82.07551760
2.89377288	-66.26782648
2.90109889	-61.10900587
2.90842490	-62.02453355
2.91575090	-61.56847306
2.92307691	-62.22186178
2.93040292	-62.09234428
2.93772893	-61.28962660
2.94505493	-61.73072814
2.95238094	-63.53070998
2.95970695	-65.80446257
2.96703296	-74.80272952
2.97435896	-77.18718756
2.98168497	-86.72500599
2.98901098	-70.12346298
2.99633698	-69.11314022
3.00366299	-71.35767966
3.01098900	-73.91645652
3.01831501	-85.88425440
3.02564101	-76.40953763
3.03296702	-75.76820038
3.04029303	-75.27302277
3.04761904	-83.91315909
3.05494504	-71.05244604
3.06227105	-73.56468712
3.06959706	-74.13512610
3.07692306	-76.75365831
3.08424907	-78.97425882
3.09157508	-73.92050277
3.09890109	-72.67240215
3.10622709	-74.33341196
3.11355310	-79.20337411
3.12087911	-79.49226636
3.12820512	-77.65247336
3.13553112	-79.60166647
3.14285713	-82.65409018
3.15018314	-76.65742197
3.15750915	-74.55196592
3.16483515	-78.51476015
3.17216116	-79.92294277
3.17948717	-73.83555119
3.18681317	-74.97026875
3.19413918	-66.77900577
3.20146519	-68.00271550
3.20879120	-68.36865821
3.21611720	-76.25812281
3.22344321	-70.68524168
3.23076922	-77.16090765
3.23809523	-70.92339555
3.24542123	-66.09261812
3.25274724	-65.66029288
3.26007325	-65.97252758
3.26739925	-66.09432474
3.27472526	-65.17142434
3.28205127	-64.69923978
3.28937728	-65.80265499
3.29670328	-66.34917141
3.30402929	-66.06192637
3.31135530	-66.22988763
3.31868131	-67.87858505
3.32600731	-71.16012974
