# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -229.30000000 ps, Average over 300 waveforms. Timestamp: 2023-05-26T11:49:01
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-212.66666682	0.00321598
-212.63333349	0.00308553
-212.60000015	0.00354382
-212.56666682	0.00330654
-212.53333349	0.00356466
-212.50000015	0.00345333
-212.46666682	0.00364459
-212.43333349	0.00355365
-212.40000015	0.00331940
-212.36666682	0.00317224
-212.33333349	0.00308490
-212.30000016	0.00257746
-212.26666682	0.00236143
-212.23333349	0.00206523
-212.20000016	0.00158017
-212.16666682	0.00121460
-212.13333349	0.00082729
-212.10000016	0.00024299
-212.06666682	-0.00032991
-212.03333349	-0.00086418
-212.00000016	-0.00134720
-211.96666683	-0.00182749
-211.93333349	-0.00217590
-211.90000016	-0.00248090
-211.86666683	-0.00268670
-211.83333349	-0.00268773
-211.80000016	-0.00247866
-211.76666683	-0.00238025
-211.73333349	-0.00204580
-211.70000016	-0.00146123
-211.66666683	-0.00087884
-211.63333349	-0.00020920
-211.60000016	0.00029399
-211.56666683	0.00102271
-211.53333350	0.00164638
-211.50000016	0.00224878
-211.46666683	0.00288853
-211.43333350	0.00353945
-211.40000016	0.00398267
-211.36666683	0.00434909
-211.33333350	0.00447216
-211.30000016	0.00490739
-211.26666683	0.00516539
-211.23333350	0.00522006
-211.20000017	0.00521209
-211.16666683	0.00508009
-211.13333350	0.00503898
-211.10000017	0.00510206
-211.06666683	0.00494852
-211.03333350	0.00474647
-211.00000017	0.00450575
-210.96666683	0.00427989
-210.93333350	0.00418290
-210.90000017	0.00386576
-210.86666684	0.00357594
-210.83333350	0.00339542
-210.80000017	0.00316628
-210.76666684	0.00295113
-210.73333350	0.00289826
-210.70000017	0.00261787
-210.66666684	0.00255949
-210.63333350	0.00244436
-210.60000017	0.00244122
-210.56666684	0.00210470
-210.53333350	0.00206092
-210.50000017	0.00203396
-210.46666684	0.00190452
-210.43333351	0.00177089
-210.40000017	0.00199080
-210.36666684	0.00203033
-210.33333351	0.00184311
-210.30000017	0.00183636
-210.26666684	0.00208178
